Date,FishID,Length,Weightlb,Weightoz,Age,TagNumber,TagType,Group,Status,Deformed,Photo,Position,Comments
2009-05-09,64,44.5,1,14,8,P000905,NA,ferox85,released,no,64,N56 41.192 W4 17.135,
2009-06-02,65,58.2,4,12,9,P000906,NA,ferox85,released,no,65,N56 41.448 W4 13.314,
2009-06-02,66,69,10,8,12,P000907,NA,ferox85,released,no,66,N56 41.228 W4 17.059,
2009-06-20,67,40,1,6,7,P000908,NA,ferox85,released,no,67,N56 41.478 W4 12.373,
2009-06-22,68,43,2,1,7,P000909,NA,ferox85,released,no,68,N56 41.391 W4 14.262,
2009-07-23,69,44.5,2,4,7,P000910,NA,ferox85,released,no,69,N56 41.297 W4 21.644,
2009-07-26,70,55.5,5,2,9,P000911,NA,ferox85,released,no,70,N56 41.441 W4 12.497,
2009-09-09,71,46.5,2,8,9,P000912,NA,ferox85,released,no,71,N56 41.350 W4 16.298,
1998-05-08,6,77.5,14,4,13,sp6,NA,ferox85,released,no,6b,N56 41.930 W4 17.510,
2000-06-20,31,58,5,0,NA,a47904,NA,ferox85,released,no,31b,N56 41.337 W4 14.763,
2001-05-19,6,79,10,4,16,sp6,NA,ferox85,released,no,6c,N56 41.413 W4 19.606,
2002-04-17,31,60.5,5,12,NA,a47904,NA,ferox85,released,no,31,N56 41.189 W4 17.227,
2002-06-15,21,71,10,0,14,809,NA,ferox85,released,no,21,N56 41.424 W4 19.519,
2002-06-20,31,60.5,5,4,15,a47904,NA,ferox85,released,no,31,N56 41.936 W4 17.104,
2002-07-05,44,62.5,7,15,NA,a47924,NA,ferox85,released,no,44,N56 41.738 W4 18.254,
2003-05-25,45,71,10,4,NA,a47925,NA,public,released,no,45,N56 41.600 W4 18.576,
2003-08-02,28,57.5,4,6,12,a47901,NA,ferox85,released,no,28,N56 41.415 W4 22.885,
2004-06-16,42,62.5,6,9,20,a47921,NA,ferox85,released,no,42,N56 41.461 W4 19.322,
2005-07-09,44,69,8,6,13,a47924,NA,ferox85,released,no,44,N56 41.641 W4 18.372,
2005-07-10,53,54,4,10,13,830,NA,ferox85,released,spine,53,N56 41.468 W4 13.425,
2006-07-07,21,76.5,9,10,18,,NA,ferox85,released,no,21,N56 41.607 W4 18.547,tag number missing
2007-06-17,57,72,9,3,14,839,NA,ferox85,released,no,57,N56 41.404 W4 13.955,
2007-07-01,58,65.7,5,8,14,844,NA,ferox85,released,jaw,58,N56 40.933 W4 18.907,
2009-06-02,57,72.5,9,1,16,839,NA,ferox85,released,no,57,N56 41.448 W4 12.076,
2009-06-22,66,69,10,8,NA,P000907,NA,ferox85,released,no,66,N56 41.389 W4 15.944,
2009-10-09,70,58.5,6,13,NA,P000911,NA,ferox85,released,no,70,N56 41.479 W4 11.754,
1998-07-01,13,NA,NA,NA,NA,,NA,public,retained,no,,,
